image,valence,arousal,social_content,luminance,contrast,entropy,orientation,valence_mean,valence_sd,arousal_mean,arousal_sd
NegHighSoc_2,Negative,High,Social,107.21,48.72,7.10,1,2.04,1.51,5.59,2.62
NegHighSoc_19,Negative,High,Social,111.39,54.36,7.51,1,1.96,1.31,5.60,2.70
NegHighSoc_13,Negative,High,Social,86.81,71.24,7.29,1,2.23,1.53,5.79,2.65
NegHighSoc_11,Negative,High,Social,120.24,60.34,7.44,1,2.16,1.43,5.80,2.60
NegHighSoc_8,Negative,High,Social,125.01,60.57,7.64,1,2.00,1.42,5.84,2.68
NegHighSoc_20,Negative,High,Social,159.32,60.86,7.24,1,3.42,2.20,5.84,2.49
NegHighSoc_5,Negative,High,Social,134.48,50.20,5.95,2,1.80,1.16,5.89,2.64
NegHighSoc_17,Negative,High,Social,97.96,44.47,6.07,1,1.67,1.19,5.94,2.78
NegHighSoc_7,Negative,High,Social,114.55,66.72,7.29,1,1.71,1.12,5.95,2.65
NegHighSoc_10,Negative,High,Social,146.03,86.29,6.80,1,1.78,1.23,6.01,2.62
NegHighSoc_18,Negative,High,Social,126.39,69.89,7.31,1,1.76,1.25,6.11,2.77
NegHighSoc_14,Negative,High,Social,119.49,61.95,5.38,2,1.64,1.18,6.17,2.74
NegHighSoc_21,Negative,High,Social,111.50,81.38,7.54,1,2.03,1.68,6.26,2.59
NegHighSoc_1,Negative,High,Social,94.01,54.37,6.29,1,1.74,1.36,6.33,2.53
NegHighSoc_3,Negative,High,Social,79.72,45.83,6.08,2,1.89,1.66,6.47,2.66
NegHighSoc_24,Negative,High,Social,71.66,47.53,7.09,1,1.50,1.15,6.52,2.90
NegHighSoc_12,Negative,High,Social,114.49,70.99,7.82,1,1.44,0.96,6.55,2.78
NegHighSoc_6,Negative,High,Social,79.98,67.99,7.17,1,1.58,1.16,6.66,2.61
NegHighSoc_22,Negative,High,Social,114.94,60.29,7.49,1,1.36,1.02,7.05,2.70
