image,valence,arousal,social_content,luminance,contrast,entropy,orientation,valence_mean,valence_sd,arousal_mean,arousal_sd,phase,description,trial_type,gonogo_image
NegHighNonsoc_11,Negative,High,Nonsocial,134.9,74.81,7.57,1,1.99,1.37,5.58,2.76,real,square_go,go,square.png
NegHighNonsoc_18,Negative,High,Nonsocial,141.17,72.04,7.32,1,1.98,1.41,5.53,2.71,real,square_go,go,square.png
NegHighNonsoc_2,Negative,High,Nonsocial,109.21,62.87,6.97,1,2.51,2.03,5.77,2.68,real,square_go,go,square.png
NeutLowSoc_17,Neutral,Low,Social,116.27,68.68,7.63,1,5.63,1.36,3.42,2.2,real,square_go,go,square.png
NeutLowSoc_9,Neutral,Low,Social,100.94,76.39,7.16,1,6.29,1.61,3.52,2.36,real,circle_nogo,nogo,circle.png
NegHighSoc_7,Negative,High,Social,114.55,66.72,7.29,1,1.71,1.12,5.95,2.65,real,square_go,go,square.png
NeutLowNonsoc_1,Neutral,Low,Nonsocial,97.33,60.78,7.21,1,3.76,1.69,3.35,2.18,real,square_go,go,square.png
NegHighSoc_18,Negative,High,Social,126.39,69.89,7.31,1,1.76,1.25,6.11,2.77,real,square_go,go,square.png
NeutLowSoc_3,Neutral,Low,Social,117.63,85.53,7.43,1,5.7,1.4,3.24,2.21,real,square_go,go,square.png
NeutLowNonsoc_8,Neutral,Low,Nonsocial,136.86,42.6,7.33,1,4.73,1.19,2.42,1.93,real,square_go,go,square.png
NegHighNonsoc_22,Negative,High,Nonsocial,127.94,56.24,6.77,1,2.88,2.14,5.86,2.61,real,square_go,go,square.png
NegHighNonsoc_11,Negative,High,Nonsocial,134.9,74.81,7.57,1,1.99,1.37,5.58,2.76,real,square_go,go,square.png
NeutLowSoc_20,Neutral,Low,Social,128.12,46.36,7.54,1,4.97,1.12,2.69,1.95,real,square_go,go,square.png
NegHighSoc_24,Negative,High,Social,71.66,47.53,7.09,1,1.5,1.15,6.52,2.9,real,circle_nogo,nogo,circle.png
NeutLowSoc_4,Neutral,Low,Social,74.72,47.32,7.25,1,5.13,1.29,3.14,2.05,real,square_go,go,square.png
NegHighSoc_21,Negative,High,Social,111.5,81.38,7.54,1,2.03,1.68,6.26,2.59,real,square_go,go,square.png
NeutLowSoc_4,Neutral,Low,Social,74.72,47.32,7.25,1,5.13,1.29,3.14,2.05,real,square_go,go,square.png
NeutLowNonsoc_21,Neutral,Low,Nonsocial,108.45,63.7,6.74,1,4.86,1.29,2.78,1.97,real,square_go,go,square.png
NeutLowSoc_2,Neutral,Low,Social,119.49,51.22,7.32,1,5.41,1.34,3.09,2.09,real,square_go,go,square.png
NeutLowSoc_16,Neutral,Low,Social,123.28,89.49,6.91,1,5.3,1.72,3.7,2.26,real,circle_nogo,nogo,circle.png
NegHighNonsoc_13,Negative,High,Nonsocial,114.39,40.09,6.4,1,1.98,1.42,5.5,2.73,real,circle_nogo,nogo,circle.png
NeutLowSoc_25,Neutral,Low,Social,191.65,56.17,7.11,1,4.87,1.22,2.6,1.98,real,square_go,go,square.png
NeutLowSoc_18,Neutral,Low,Social,135.35,56.38,7.75,1,4.83,1.51,3.38,2.04,real,square_go,go,square.png
NegHighSoc_17,Negative,High,Social,97.96,44.47,6.07,1,1.67,1.19,5.94,2.78,real,square_go,go,square.png
NegHighSoc_14,Negative,High,Social,119.49,61.95,5.38,2,1.64,1.18,6.17,2.74,real,square_go,go,square.png
NegHighNonsoc_6,Negative,High,Nonsocial,119.35,38.09,7.03,1,1.49,1.13,6.38,2.81,real,square_go,go,square.png
NegHighNonsoc_10,Negative,High,Nonsocial,119.51,55.43,7.44,1,2.07,1.42,5.23,2.67,real,square_go,go,square.png
NeutLowSoc_13,Neutral,Low,Social,113.16,68.12,7.51,1,5.48,1.36,2.99,2.13,real,square_go,go,square.png
NegHighNonsoc_13,Negative,High,Nonsocial,114.39,40.09,6.4,1,1.98,1.42,5.5,2.73,real,square_go,go,square.png
NeutLowNonsoc_7,Neutral,Low,Nonsocial,134.13,51.55,7.54,1,4.92,1.42,2.47,1.95,real,square_go,go,square.png
NegHighSoc_1,Negative,High,Social,94.01,54.37,6.29,1,1.74,1.36,6.33,2.53,real,circle_nogo,nogo,circle.png
NeutLowSoc_9,Neutral,Low,Social,100.94,76.39,7.16,1,6.29,1.61,3.52,2.36,real,square_go,go,square.png
NegHighNonsoc_22,Negative,High,Nonsocial,127.94,56.24,6.77,1,2.88,2.14,5.86,2.61,real,circle_nogo,nogo,circle.png
NeutLowSoc_16,Neutral,Low,Social,123.28,89.49,6.91,1,5.3,1.72,3.7,2.26,real,square_go,go,square.png
NegHighNonsoc_3,Negative,High,Nonsocial,131.26,64.13,7.24,1,1.69,1.2,6.21,2.68,real,square_go,go,square.png
NegHighNonsoc_3,Negative,High,Nonsocial,131.26,64.13,7.24,1,1.69,1.2,6.21,2.68,real,square_go,go,square.png
NegHighSoc_5,Negative,High,Social,134.48,50.2,5.95,2,1.8,1.16,5.89,2.64,real,square_go,go,square.png
NegHighSoc_5,Negative,High,Social,134.48,50.2,5.95,2,1.8,1.16,5.89,2.64,real,square_go,go,square.png
NegHighSoc_2,Negative,High,Social,107.21,48.72,7.1,1,2.04,1.51,5.59,2.62,real,square_go,go,square.png
NeutLowNonsoc_24,Neutral,Low,Nonsocial,144.52,59.51,7.15,1,5.93,1.6,3.62,2.27,real,square_go,go,square.png
NegHighNonsoc_14,Negative,High,Nonsocial,96.7,48.02,7.09,1,2.5,1.72,5.74,2.67,real,square_go,go,square.png
NegHighSoc_5,Negative,High,Social,134.48,50.2,5.95,2,1.8,1.16,5.89,2.64,real,square_go,go,square.png
NeutLowNonsoc_10,Neutral,Low,Nonsocial,105.5,51.66,7.46,1,5.14,1.51,2.63,2.16,real,square_go,go,square.png
NeutLowNonsoc_9,Neutral,Low,Nonsocial,115.17,82.64,7.01,1,5.96,1.53,3.32,2.25,real,square_go,go,square.png
